area;urbano;quartos;banheiros;vaga_estacionamento;andar;aceita_animais;mobiliada;condominio;aluguel;iptu;seguro
240;1;3;3;4;0;1;1;0;8,000;1,000;121
64;0;2;1;1;10;1;0;540;820;122;11
443;1;5;5;4;3;1;1;4,172;7,000;1,417;89
73;1;2;2;1;12;1;0;700;1,250;150;16
19;1;1;1;0;0;0;0;0;1,200;41;16
13;1;1;1;0;2;1;0;0;2,200;42;28
55;1;1;1;1;2;1;1;1,950;5,000;375;64
55;1;2;2;1;2;1;0;600;1,300;67;17
82;1;3;1;1;3;1;1;828;2,000;109;26
32;1;1;1;1;16;1;0;533;2,900;0;37
60;0;1;1;0;6;1;0;480;720;20;10
64;0;1;2;1;4;1;1;406;1,550;0;7
20;1;1;1;0;4;1;1;602;1,800;130;23
375;1;4;5;5;1;1;0;4,793;15,000;2,805;191
92;1;2;1;1;7;0;1;690;3,950;0;51
56;0;2;1;1;1;1;0;345;950;11;13
188;0;2;3;8;0;1;0;0;3,010;584;46
100;1;3;2;1;0;1;0;0;3,500;260;53
192;1;3;3;2;13;1;0;2,100;7,800;634;99
93;1;3;2;1;10;1;0;1,497;3,500;227;45
155;1;3;3;2;0;1;0;0;2,650;233;40
80;1;2;2;0;9;0;0;600;2,550;46;33
65;1;2;2;2;14;0;0;907;3,500;0;45
320;1;3;3;4;0;1;0;0;9,000;1,000;136
180;1;3;5;3;3;1;0;2,900;8,100;0;103
31;1;1;1;1;4;1;0;272;3,200;64;41
105;1;4;2;2;3;1;0;1,659;6,500;400;83
300;1;3;4;2;9;1;1;2,000;14,000;1,084;178
150;0;3;2;2;13;1;0;1,370;1,800;250;23
130;1;3;3;2;0;1;0;0;6,000;84;91
70;1;2;1;0;1;1;0;521;3,000;50;39
120;1;3;1;4;0;1;0;0;3,500;234;53
250;1;3;4;2;0;1;0;300;3,480;360;53
50;1;1;1;0;1;1;0;325;1,550;25;20
240;1;3;3;3;3;1;0;4,132;3,800;952;49
250;1;4;4;2;0;0;0;;6,600;0;100
94;0;3;3;2;1;1;0;750;2,200;192;28
176;1;3;4;3;4;1;0;1,600;6,500;775;83
180;1;3;4;5;0;1;0;;3,300;266;50
191;1;3;3;4;1;1;1;2,605;15,000;1,299;191
25;1;1;1;0;14;1;0;257;1,698;0;22
800;1;4;5;4;9;1;0;6,000;15,000;3,334;191
340;1;3;4;3;0;1;1;0;9,800;392;148
90;1;2;1;0;0;0;0;0;1,450;50;22
650;0;5;4;8;0;1;1;0;8,500;442;128
100;1;2;2;0;1;1;0;0;2,700;265;35
230;1;4;4;4;1;1;1;2,300;13,500;1,084;172
